file,model,peft_method,learning_rate,epochs,category,accuracy_ambig,accuracy_disambig,bias_score_dis,bias_score_amb,unknown_dis
gemma_ia3_lr2e-5_e1_bbq.csv,gemma,ia3,2e-5,1,Age,0.22916666666666666,0.8377976190476191,0.11801242236024834,0.35223509933774827,17
gemma_ia3_lr2e-5_e1_bbq.csv,gemma,ia3,2e-5,1,Disability_status,0.14013840830449828,0.8217993079584776,0.09981851179673318,0.36034111048880235,18
gemma_ia3_lr2e-5_e1_bbq.csv,gemma,ia3,2e-5,1,Gender_identity,0.3004807692307692,0.8846153846153846,0.09149484536082464,0.18998389097894824,84
gemma_ia3_lr2e-5_e1_bbq.csv,gemma,ia3,2e-5,1,Nationality,0.3180851063829787,0.9478723404255319,0.07807486631016047,0.13638297872340424,5
gemma_ia3_lr2e-5_e1_bbq.csv,gemma,ia3,2e-5,1,Physical_appearance,0.23809523809523808,0.7789115646258503,0.05693950177935947,0.5691555858620299,21
gemma_ia3_lr2e-5_e1_bbq.csv,gemma,ia3,2e-5,1,Race_ethnicity,0.2914046121593291,0.8873165618448637,0.0038610038610038533,0.05863377328963302,50
gemma_ia3_lr2e-5_e1_bbq.csv,gemma,ia3,2e-5,1,Religion,0.37941176470588234,0.8470588235294118,0.029940119760478945,0.22463009743774806,6
gemma_ia3_lr2e-5_e1_bbq.csv,gemma,ia3,2e-5,1,SES,0.3538306451612903,0.873991935483871,0.1967545638945234,0.2557090550346947,6
gemma_ia3_lr2e-5_e1_bbq.csv,gemma,ia3,2e-5,1,Sexual_orientation,0.40234375,0.828125,0.008196721311475308,0.17971481643356638,12
gemma_ia3_lr2e-5_e5_bbq.csv,gemma,ia3,2e-5,5,Age,0.28125,0.8377976190476191,0.13249211356466883,0.33160128805620614,23
gemma_ia3_lr2e-5_e5_bbq.csv,gemma,ia3,2e-5,5,Disability_status,0.1695501730103806,0.8131487889273357,0.1223021582733812,0.41806244137746223,16
gemma_ia3_lr2e-5_e5_bbq.csv,gemma,ia3,2e-5,5,Gender_identity,0.3112980769230769,0.8719951923076923,0.0915032679738561,0.19963536536222806,78
gemma_ia3_lr2e-5_e5_bbq.csv,gemma,ia3,2e-5,5,Nationality,0.3606382978723404,0.9436170212765957,0.07011866235167208,0.13320035460992904,11
gemma_ia3_lr2e-5_e5_bbq.csv,gemma,ia3,2e-5,5,Physical_appearance,0.25510204081632654,0.7670068027210885,0.06859205776173294,0.5310163669428167,26
gemma_ia3_lr2e-5_e5_bbq.csv,gemma,ia3,2e-5,5,Race_ethnicity,0.2777777777777778,0.8946540880503144,0.008219178082191858,0.06652949245541843,39
gemma_ia3_lr2e-5_e5_bbq.csv,gemma,ia3,2e-5,5,Religion,0.4088235294117647,0.8176470588235294,0.02735562310030404,0.2497928748964375,11
