file,model,peft_method,learning_rate,epochs,accuracy,accuracy_ambig,accuracy_disambig,bias_score_dis,bias_score_amb,unknown_dis,accuracy_Age,accuracy_Disability_status,accuracy_Gender_identity,accuracy_Nationality,accuracy_Physical_appearance,accuracy_Race_ethnicity,accuracy_Religion,accuracy_SES,accuracy_Sexual_orientation
gemma_ia3_lr2e-5_e1_bbq.csv,gemma,ia3,2e-5,1,0.581506676744772,0.29138321995464855,0.8716301335348955,0.0775488780999869,0.22094759228743252,219,0.5334821428571429,0.4809688581314879,0.5925480769230769,0.6329787234042553,0.5085034013605442,0.5893605870020965,0.6132352941176471,0.6139112903225806,0.615234375
gemma_ia3_lr2e-5_e5_bbq.csv,gemma,ia3,2e-5,5,0.5869866465104561,0.30675233056185436,0.8672209624590577,0.08066006600660058,0.22551809691854266,231,0.5595238095238095,0.4913494809688581,0.5916466346153846,0.652127659574468,0.5110544217687075,0.5862159329140462,0.6132352941176471,0.6154233870967742,0.640625
gemma_lora_lr2e-5_e1_bbq.csv,gemma,lora,2e-5,1,0.5619173595364072,0.2562358276643991,0.8675988914084152,0.08391790075344252,0.24307799364488714,179,0.5141369047619048,0.46539792387543255,0.5910456730769231,0.6090425531914894,0.4923469387755102,0.5720649895178197,0.5794117647058824,0.5670362903225806,0.583984375
gemma_lora_lr2e-5_e5_bbq.csv,gemma,lora,2e-5,5,0.5251322751322751,0.1963970773494583,0.8538674729150919,0.07924921793534923,0.23296430140061966,196,0.49032738095238093,0.4282006920415225,0.5441706730769231,0.5686170212765957,0.467687074829932,0.5406184486373166,0.5323529411764706,0.532258064516129,0.53125
gemma_prompt_lr2e-5_e1_bbq.csv,gemma,prompt,2e-5,1,0.45811287477954143,0.2180650037792895,0.6981607457797934,0.09564474807856538,0.13520762328846628,474,0.40625,0.41782006920415227,0.4735576923076923,0.43031914893617024,0.43537414965986393,0.45073375262054505,0.4676470588235294,0.530241935483871,0.501953125
gemma_prompt_lr2e-5_e5_bbq.csv,gemma,prompt,2e-5,5,0.33900226757369617,0.11904761904761904,0.5589569160997733,0.06827537260468408,0.10766912948363391,869,0.3318452380952381,0.3157439446366782,0.3515625,0.3468085106382979,0.32908163265306123,0.3278301886792453,0.34558823529411764,0.3588709677419355,0.3203125
gemma_ptuning_lr2e-5_e1_bbq.csv,gemma,ptuning,2e-5,1,0.5136054421768708,0.2164273116654069,0.8107835726883346,0.09691745036572619,0.18131315489759442,281,0.4494047619047619,0.4342560553633218,0.5444711538461539,0.5409574468085107,0.483843537414966,0.5151991614255765,0.5779411764705882,0.5226814516129032,0.49609375
gemma_ptuning_lr2e-5_e5_bbq.csv,gemma,ptuning,2e-5,5,0.5553036029226506,0.37755102040816324,0.7330561854371378,0.1145790554414785,0.14569033969260956,582,0.4888392857142857,0.46280276816608995,0.5961538461538461,0.5638297872340425,0.5051020408163265,0.5482180293501048,0.6073529411764705,0.609375,0.53125
llama_ia3_lr2e-5_e1_bbq.csv,llama,ia3,2e-5,1,0.7380322499370119,0.5745779793398841,0.9014865205341396,0.04977495366693141,0.16061980347694635,384,0.6078869047619048,0.6150519031141869,0.7481971153846154,0.8180851063829787,0.6496598639455783,0.8123689727463312,0.7558823529411764,0.6880040322580645,0.81640625
llama_ia3_lr2e-5_e5_bbq.csv,llama,ia3,2e-5,5,0.7493701184177375,0.6007810531620056,0.8979591836734694,0.049753234627184284,0.1533131771227009,441,0.6168154761904762,0.6288927335640139,0.7542067307692307,0.8313829787234043,0.6539115646258503,0.8296645702306079,0.7691176470588236,0.6980846774193549,0.830078125
